car,title,planned_date,notes
VNKKTUD38GA057599,Changement de brake en avant,2026-07,Original technician: Chrono Méchanique
VNKJTUD35EA014606,Validé si bearing OK sur Yaris Blanche,2026-07,Original technician: JF
VNKJTUD35EA014606,Validé l'état des brakes arrière Yaris Blanche,2026-07,Original technician: JF
VNKKTUD38GA057599,Validé si brake à bras OK sur Yaris Duberger,2026-07,Original technician: JF
VNKJTUD35EA014606,Vérifier les têtes de suspension sur la Yaris Blanche,2026-07,Original technician: JF
VNKJTUD35EA014606,Changement du filtre d'air moteur de la Yaris Blanche,2026-09,Original technician: JF
VNKKTUD38GA057599,Changement du filtre d'air Habitacle de la Yaris Noir Duberger,2026-09,Original technician: JF
VNKJTUD35EA014606,Changement du filtre d'air Habitacle de la Yaris Blanche,2026-09,Original technician: JF
VNKKTUD36FA023546,Changement du filtre d'air moteur de la Yaris Les Saules,2026-09,Original technician: JF
VNKKTUD36FA023546,Changement du filtre d'air Habitacle de la Yaris Les Saules,2026-09,Original technician: JF
